Date,Open,High,Low,Close,Adj Close,Volume
2023-05-01,97.79000091552734,100.5999984741211,96.19000244140625,97.83999633789062,97.83999633789062,211000
2023-05-02,96.30000305175781,96.70999908447266,92.55999755859375,94.7699966430664,94.7699966430664,503000
2023-05-03,92.4000015258789,96.5199966430664,92.0,92.66000366210938,92.66000366210938,334700
2023-05-04,92.25,95.12999725341797,91.11000061035156,94.30999755859375,94.30999755859375,283800
2023-05-05,97.68000030517578,100.0,96.66000366210938,97.0999984741211,97.0999984741211,256800
2023-05-08,99.68000030517578,101.0199966430664,95.22000122070312,95.91000366210938,95.91000366210938,245400
2023-05-09,93.12000274658203,96.47000122070312,92.27999877929688,94.25,94.25,328500
2023-05-10,95.3499984741211,96.37000274658203,90.5199966430664,90.9000015258789,90.9000015258789,244000
2023-05-11,88.9000015258789,90.16999816894531,87.70999908447266,89.75,89.75,205200
2023-05-12,90.48999786376953,90.94000244140625,87.91999816894531,88.29000091552734,88.29000091552734,138500
2023-05-15,89.0,92.5999984741211,87.95999908447266,90.6500015258789,90.6500015258789,243500
2023-05-16,89.69999694824219,89.7699966430664,85.3499984741211,85.5199966430664,85.5199966430664,257600
2023-05-17,86.69999694824219,90.73999786376953,85.4000015258789,89.5,89.5,213900
2023-05-18,87.9000015258789,91.56999969482422,85.63999938964844,91.3499984741211,91.3499984741211,298500
2023-05-19,92.30999755859375,93.44000244140625,89.62000274658203,91.0,91.0,143600
2023-05-22,91.12999725341797,95.0,90.30000305175781,93.69000244140625,93.69000244140625,193800
2023-05-23,94.48999786376953,96.77999877929688,93.61000061035156,95.5999984741211,95.5999984741211,178400
2023-05-24,96.27999877929688,96.80999755859375,93.83000183105469,95.87999725341797,95.87999725341797,192300
2023-05-25,93.41000366210938,93.66000366210938,89.5199966430664,90.76000213623047,90.76000213623047,190800
2023-05-26,91.19999694824219,92.12000274658203,89.58999633789062,90.44999694824219,90.44999694824219,108500
2023-05-30,88.23999786376953,88.77999877929688,84.6500015258789,86.7699966430664,86.7699966430664,181700
2023-05-31,84.62000274658203,86.5,83.05000305175781,83.69999694824219,83.69999694824219,152000
2023-06-01,83.63999938964844,90.0,83.63999938964844,87.55999755859375,87.55999755859375,203700
2023-06-02,89.81999969482422,96.79000091552734,89.05999755859375,96.38999938964844,96.38999938964844,517400
2023-06-05,98.20999908447266,99.05000305175781,91.26000213623047,93.23999786376953,93.23999786376953,257000
2023-06-06,91.51000213623047,96.9000015258789,90.9000015258789,96.83999633789062,96.83999633789062,316600
2023-06-07,98.6500015258789,105.7699966430664,97.87999725341797,104.5999984741211,104.5999984741211,448800
2023-06-08,104.29000091552734,107.12999725341797,100.73999786376953,105.27999877929688,105.27999877929688,356400
2023-06-09,104.81999969482422,107.0199966430664,101.70999908447266,102.33999633789062,102.33999633789062,237500
