# Description: S&P 400 investment options. 10/02/2020

# Format
"Investment Option","Description","Asset Class","3 mo","6 mo","1 Yr","1-1 Yr","3 Yr","5 Yr","Vola","DS Vola","SD 1 Yr","SD 3 Yr","SD 5 Yr"
"UNIT","Uniti Group","US Stocks:Communication Services","441.09","224.81","38.29","45.31","35.54","-3.28","36.14","13.48","56.97","56.94","54.29"
"UPBD","Upbound Group, Inc.","US Stocks:Consumer Discretionary","9.73","-27.77","-1.07","-0.00","-1.34","-14.56","37.24","14.96","46.32","41.13","47.31"
"UPWK","Upwork, Inc.","US Stocks:Industrials","-93.52","-58.78","-22.99","-23.34","1.09","-25.54","45.57","32.84","63.94","60.28","55.11"
"URBN","Urban Outfitters, Inc.","US Stocks:Consumer Discretionary","-5.18","3.01","30.42","35.75","37.23","13.07","42.97","17.64","40.25","38.02","37.51"
"USPH","U.S. Physical Therapy, Inc.","US Stocks:Healthcare","-42.23","-36.72","2.77","5.30","-10.61","-7.36","20.52","10.02","26.10","31.60","35.86"
"UTI","Universal Technical Institute","US Stocks:Consumer Discretionary","191.61","12.48","29.23","26.97","72.66","44.69","36.02","18.62","56.02","50.80","48.62"
"UTL","Unitil Corporation","US Stocks:Utilities","30.10","12.49","-7.93","-5.78","-0.72","4.11","20.82","11.33","13.98","21.02","22.21"
"UVV","Universal Corporation","US Stocks:Consumer Staples","-14.06","7.97","-3.18","-0.93","5.53","4.36","19.90","11.88","22.17","29.13","27.57"
"VAC","Marriott Vacations Worldwide","US Stocks:Consumer Discretionary","163.10","-1.11","28.46","34.11","-18.06","-14.76","48.81","32.33","38.59","40.57","38.20"
"VCEL","Vericel","US Stocks:Healthcare","-27.27","-15.98","-13.71","-10.27","3.46","-10.32","51.85","32.71","34.21","38.71","41.63"
"VCTR","Victory Capital Holdings, Inc.","US Stocks:Financials","42.79","40.83","33.94","35.88","39.59","25.39","32.77","11.72","23.36","25.76","30.25"
"VCYT","Veracyte, Inc.","US Stocks:Healthcare","-53.48","-21.94","0.35","3.72","11.04","-8.36","40.75","22.13","51.99","48.65","52.93"
"VECO","Veeco Instruments Inc.","US Stocks:Technology","381.83","167.87","150.47","147.06","36.16","17.39","51.04","18.25","44.29","44.30","38.82"
"VGNT","Versigent PLC","US Stocks:Consumer Discretionary","nan","nan","nan","nan","nan","nan","75.64","46.92","0.00","0.00","0.00"
"VIAV","VIAVI Solutions","US Stocks:Technology","2097.02","965.24","332.79","310.75","71.73","22.36","65.45","26.83","56.06","48.23","44.53"
"VIR","Vir Biotechnology, Inc.","US Stocks:Healthcare","214.38","165.18","65.25","67.97","-26.51","-27.36","47.77","19.81","40.60","57.96","61.66"
"VIRT","Virtu Financial, Inc.","US Stocks:Financials","245.54","130.97","32.81","30.61","42.91","14.75","37.22","20.56","35.09","33.54","32.48"
"VITL","Vital Farms, Inc.","US Stocks:Consumer Staples","-96.09","-89.09","-64.03","-61.17","-3.08","-13.51","56.89","38.04","65.24","65.67","57.50"
"VRRM","Verra Mobility Corporation","US Stocks:Industrials","-68.44","-61.99","-32.38","-30.31","-3.58","0.95","23.55","12.92","26.68","29.73","27.93"
"VRTS","Virtus Investment Partners, Inc.","US Stocks:Financials","-40.86","-25.35","-1.54","0.04","-4.48","-7.34","30.42","16.34","27.27","27.65","31.32"
"VSAT","Viasat, Inc.","US Stocks:Technology","140.95","129.51","532.66","541.55","18.93","4.50","74.80","21.56","111.56","96.66","81.22"
"VSEC","VSE Corporation","US Stocks:Industrials","-63.40","-20.25","40.68","55.06","54.38","31.22","86.80","55.73","42.16","37.41","38.88"
"VSH","Vishay Intertechnology","US Stocks:Technology","343.21","163.74","116.64","112.74","12.13","3.90","49.01","13.96","67.48","50.09","42.81"
"VSTS","Vestis","US Stocks:Industrials","425.75","218.78","8.38","9.32","8.38","8.38","38.34","17.16","56.10","51.41","51.41"
"VSXY","Victoria's Secret","US Stocks:Consumer Discretionary","-33.95","112.91","168.35","179.02","15.62","15.62","45.90","19.12","55.83","70.82","69.55"
"VTOL","Bristow Group Inc.","US Stocks:Energy","53.88","62.37","64.84","65.08","29.73","13.55","20.33","9.11","28.38","36.85","41.07"
"VYX","NCR Voyix","US Stocks:Technology","-77.46","-66.73","-20.49","-17.50","-19.88","-22.85","37.73","19.48","47.93","38.83","37.94"
"WABC","Westamerica Bank","US Stocks:Financials","50.47","33.04","17.13","18.57","14.36","0.53","14.86","7.98","10.10","26.10","26.03"
"WAFD","WaFd, Inc.","US Stocks:Financials","49.89","44.91","28.60","30.60","10.65","4.96","32.71","8.34","17.91","29.89","30.22"
"WAY","Waystar Holding Corp","US Stocks:Healthcare","-29.93","-58.72","-31.03","-31.85","-31.03","-31.03","48.91","19.47","25.56","32.16","32.16"
"WD","Walker & Dunlop, Inc.","US Stocks:Financials","-57.90","-62.46","-30.57","-29.11","-6.01","-10.98","21.48","8.94","40.70","41.80","39.69"
"WDFC","WD-40 Company","US Stocks:Consumer Staples","-8.30","21.73","-2.46","0.09","4.45","-2.19","35.26","19.25","27.57","28.21","25.94"
"WEN","The Wendy's Company","US Stocks:Consumer Discretionary","-43.43","-38.52","-43.88","-43.37","-29.16","-17.90","32.31","18.69","20.40","20.90","21.70"
"WERN","Werner Enterprises","US Stocks:Industrials","28.46","78.65","32.25","27.24","-6.35","-3.12","33.19","10.89","36.64","32.28","29.17"
"WGO","Winnebago Industries, Inc.","US Stocks:Consumer Discretionary","-76.25","-38.03","3.21","3.16","-16.18","-13.61","34.59","19.72","43.71","38.62","36.58"
"WHD","Cactus, Inc.","US Stocks:Energy","8.39","98.17","46.21","45.44","10.18","15.90","29.30","11.10","34.45","41.78","43.17"
"WINA","Winmark","US Stocks:Consumer Discretionary","-55.52","-9.86","6.29","5.95","5.49","17.23","50.53","35.62","41.64","32.04","30.18"
"WKC","World Kinect Corporation","US Stocks:Energy","25.68","8.85","12.28","14.71","4.77","-1.48","42.24","12.08","28.79","30.06","33.23"
"WLY","John Wiley & Sons","US Stocks:Communication Services","192.11","26.18","-3.40","-2.18","5.55","-3.27","19.35","7.91","36.91","31.84","32.48"
"WOR","Worthington Enterprises","US Stocks:Industrials","1.79","-7.17","9.15","13.42","14.10","7.91","29.91","14.71","27.59","36.41","37.85"
"WRLD","World Acceptance Corporation","US Stocks:Financials","209.19","15.88","11.62","15.31","17.89","3.81","51.36","23.44","45.97","42.92","48.82"
"WS","Worthington Steel","US Stocks:Materials","-22.77","36.73","44.66","49.42","44.66","44.66","49.85","18.29","42.99","42.74","42.74"
"WSC","WillScot Holdings Corp.","US Stocks:Industrials","43.02","-4.76","-10.02","-7.64","-19.94","-4.75","37.40","13.01","43.53","36.74","33.60"
"WSFS","WSFS Financial Corporation","US Stocks:Financials","72.64","77.31","37.83","41.87","25.72","9.57","19.56","8.87","21.61","30.17","31.06"
"WSR","Whitestone REIT","US Stocks:Real Estate","254.31","146.87","48.53","49.58","33.94","19.29","40.65","0.94","21.30","21.83","25.85"
"WT","WisdomTree Investments, Inc.","US Stocks:Financials","-16.34","76.79","87.70","94.51","38.01","22.70","48.13","22.85","46.46","38.53","33.75"
"WU","Western Union","US Stocks:Financials","-5.53","12.25","-1.73","-1.98","2.47","-12.76","37.03","23.68","25.38","21.28","23.62"
"WWW","Wolverine World Wide, Inc.","US Stocks:Consumer Discretionary","-5.14","-52.60","33.02","38.55","3.21","-13.97","30.68","14.61","68.31","65.85","61.19"
"XHR","Xenia Hotels & Resorts, Inc.","US Stocks:Real Estate","55.91","58.83","55.92","59.22","11.90","0.15","24.19","10.32","23.74","24.61","29.28"
"XNCR","Xencor Inc","US Stocks:Healthcare","-21.63","-33.69","9.62","15.60","-25.73","-23.53","49.06","29.74","65.67","54.95","49.99"
"XPEL","XPEL, Inc.","US Stocks:Consumer Discretionary","-36.58","67.63","70.98","67.69","-14.62","-5.81","22.15","9.40","49.66","49.40","50.80"
"YELP","Yelp, Inc.","US Stocks:Communication Services","7.63","-27.91","-21.28","-21.70","-1.39","-6.53","27.76","18.01","34.33","30.82","29.84"
"YOU","Clear Secure, Inc.","US Stocks:Technology","563.66","186.87","116.97","116.60","31.81","31.81","55.95","30.17","54.61","53.70","54.05"
"ZD","Ziff Davis","US Stocks:Communication Services","100.62","65.30","51.57","52.54","-14.32","-14.87","26.07","9.98","67.45","53.73","46.16"
"ZWS","Zurn Elkay Water Solutions Corp.","US Stocks:Industrials","49.03","20.21","52.30","55.35","34.77","17.06","44.50","16.33","28.06","27.00","28.12"
